ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
0,90001,0913 1814 2000,"{'0913': 'Victim knew Suspect', '1814': 'Susp is/was current/former boyfriend/girlfriend', '2000': 'Domestic violence'}",3,2010-02-20,2010-02-20,Newton,33.9825,-118.2695
1,90045,0329,{'0329': 'Vandalized'},1,2010-09-12,2010-09-13,Pacific,33.9599,-118.3962
2,90021,0344,{'0344': 'Removes vict property'},1,2010-08-09,2010-08-09,Newton,34.0224,-118.2524
3,90028,1100 0400 1402,"{'1100': 'Shots Fired', '0400': 'Force used', '1402': 'Evidence Booked (any crime)'}",3,2010-01-05,2010-01-05,Hollywood,34.1016,-118.3295
4,90014,0400,{'0400': 'Force used'},1,2010-01-02,2010-01-03,Central,34.0387,-118.2488
5,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-01-04,2010-01-05,Central,34.0480,-118.2577
6,90015,0344,{'0344': 'Removes vict property'},1,2010-01-07,2010-01-08,Central,34.0389,-118.2643
7,90013,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-01-08,2010-01-09,Central,34.0435,-118.2427
8,90017,0400 0416,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,2010-01-09,2010-01-09,Central,34.0450,-118.2640
9,90079,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-01-06,2010-01-09,Central,34.0538,-118.2488
10,90012,0400 0429 2000,"{'0400': 'Force used', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}",3,2010-01-14,2010-01-14,Central,34.0640,-118.2375
11,90021,0344,{'0344': 'Removes vict property'},1,2010-01-14,2010-01-15,Central,34.0350,-118.2386
12,90015,0329,{'0329': 'Vandalized'},1,2010-01-15,2010-01-15,Central,34.0409,-118.2609
13,90071,0404,"{'0404': 'Bomb Threat, no bomb'}",1,2010-01-15,2010-01-16,Central,34.0502,-118.2540
14,90013,0344 0416 1218,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '1218': 'Victim was Homeless/Transient'}",3,2010-01-15,2010-01-16,Central,34.0515,-118.2424
15,90014,,{'nan': 'Unknown code'},1,2010-01-16,2010-01-17,Central,34.0389,-118.2550
