ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
0,90001,0913 1814 2000,"{'0913': 'Victim knew Suspect', '1814': 'Susp is/was current/former boyfriend/girlfriend', '2000': 'Domestic violence'}",3,2/20/10,2/20/10,Newton,33.9825,-118.2695
1,90045,329,{'0329': 'Vandalized'},1,9/12/10,9/13/10,Pacific,33.9599,-118.3962
2,90021,344,{'0344': 'Removes vict property'},1,8/9/10,8/9/10,Newton,34.0224,-118.2524
3,90028,1100 0400 1402,"{'1100': 'Shots Fired', '0400': 'Force used', '1402': 'Evidence Booked (any crime)'}",3,1/5/10,1/5/10,Hollywood,34.1016,-118.3295
4,90014,400,{'0400': 'Force used'},1,1/2/10,1/3/10,Central,34.0387,-118.2488
5,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,1/4/10,1/5/10,Central,34.048,-118.2577
6,90015,344,{'0344': 'Removes vict property'},1,1/7/10,1/8/10,Central,34.0389,-118.2643
7,90013,416,{'0416': 'Hit-Hit w/ weapon'},1,1/8/10,1/9/10,Central,34.0435,-118.2427
8,90017,0400 0416,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,1/9/10,1/9/10,Central,34.045,-118.264
9,90079,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,1/6/10,1/9/10,Central,34.0538,-118.2488
10,90012,0400 0429 2000,"{'0400': 'Force used', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}",3,1/14/10,1/14/10,Central,34.064,-118.2375
11,90021,344,{'0344': 'Removes vict property'},1,1/14/10,1/15/10,Central,34.035,-118.2386
12,90015,329,{'0329': 'Vandalized'},1,1/15/10,1/15/10,Central,34.0409,-118.2609
13,90071,404,"{'0404': 'Bomb Threat, no bomb'}",1,1/15/10,1/16/10,Central,34.0502,-118.254
14,90013,0344 0416 1218,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '1218': 'Victim was Homeless/Transient'}",3,1/15/10,1/16/10,Central,34.0515,-118.2424
15,90014,,{'nan': 'Unknown code'},1,1/16/10,1/17/10,Central,34.0389,-118.255
16,90015,1251,{'1251': 'Victim was a student'},1,1/23/10,1/23/10,Central,34.0401,-118.2668
17,90014,0344 0416,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",2,1/23/10,1/23/10,Central,34.0428,-118.2461
18,90079,2000,{'2000': 'Domestic violence'},1,1/23/10,1/23/10,Central,34.0545,-118.2499
19,90012,0346 0400,"{'0346': 'Snatch property and runs', '0400': 'Force used'}",2,1/26/10,1/26/10,Central,34.0563,-118.2374
20,90071,0416 2000,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",2,1/28/10,1/28/10,Central,34.0502,-118.254
21,90013,0344 1609,"{'0344': 'Removes vict property', '1609': 'Smashed'}",2,1/29/10,1/30/10,Central,34.0454,-118.236
22,90013,344,{'0344': 'Removes vict property'},1,1/31/10,1/31/10,Central,34.0472,-118.2371
23,90015,400,{'0400': 'Force used'},1,1/31/10,1/31/10,Central,34.0382,-118.2665
24,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,1/31/10,2/1/10,Central,34.0423,-118.2452
25,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,1/31/10,2/1/10,Central,34.046,-118.2509
26,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,1/31/10,2/1/10,Central,34.0461,-118.2476
27,90015,1402,{'1402': 'Evidence Booked (any crime)'},1,1/31/10,2/1/10,Central,34.0437,-118.2652
28,90014,,{'nan': 'Unknown code'},1,2/3/10,2/5/10,Central,34.0357,-118.2563
29,90021,521,{'0521': 'Tongue or mouth to anus'},1,2/1/10,2/2/10,Central,34.0394,-118.2405
30,90014,0400 0417,"{'0400': 'Force used', '0417': 'Kicked'}",2,2/5/10,2/5/10,Central,34.0446,-118.245
31,90017,416,{'0416': 'Hit-Hit w/ weapon'},1,2/6/10,2/6/10,Central,34.045,-118.264
32,90014,0400 0416,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,2/5/10,2/5/10,Central,34.0439,-118.2514
33,90015,0344 1609,"{'0344': 'Removes vict property', '1609': 'Smashed'}",2,2/8/10,2/10/10,Central,34.0415,-118.2654
34,90017,344,{'0344': 'Removes vict property'},1,2/8/10,2/8/10,Central,34.048,-118.2577
35,90017,416,{'0416': 'Hit-Hit w/ weapon'},1,2/10/10,2/11/10,Central,34.0502,-118.2574
36,90017,0325 1402,"{'0325': 'Took merchandise', '1402': 'Evidence Booked (any crime)'}",2,2/10/10,2/11/10,Central,34.048,-118.2577
37,90015,1212,{'1212': 'LA Police Officer'},1,2/11/10,2/11/10,Central,34.0389,-118.2643
38,90017,416,{'0416': 'Hit-Hit w/ weapon'},1,2/13/10,2/13/10,Central,34.045,-118.264
39,90012,329,{'0329': 'Vandalized'},1,2/13/10,2/13/10,Central,34.0559,-118.2296
40,90013,408,{'0408': 'Choked/uses choke hold/Strangulation/Suffocation'},1,2/14/10,2/15/10,Central,34.0426,-118.2412
41,90079,400,{'0400': 'Force used'},1,2/15/10,2/15/10,Central,34.0544,-118.2466
42,90013,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2/16/10,2/16/10,Central,34.0449,-118.2415
43,90014,329,{'0329': 'Vandalized'},1,2/17/10,2/17/10,Central,34.0481,-118.2507
44,90017,400,{'0400': 'Force used'},1,2/19/10,2/20/10,Central,34.048,-118.2577
45,90017,400,{'0400': 'Force used'},1,2/19/10,2/20/10,Central,34.048,-118.2577
46,90014,329,{'0329': 'Vandalized'},1,2/20/10,2/20/10,Central,34.0439,-118.2514
47,90014,2000,{'2000': 'Domestic violence'},1,2/20/10,2/20/10,Central,34.0453,-118.2499
48,90014,0400 0408,"{'0400': 'Force used', '0408': 'Choked/uses choke hold/Strangulation/Suffocation'}",2,2/21/10,2/21/10,Central,34.0431,-118.2536
49,90012,0344 1251,"{'0344': 'Removes vict property', '1251': 'Victim was a student'}",2,2/25/10,2/25/10,Central,34.0617,-118.2469
50,90014,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2/25/10,2/26/10,Central,34.0394,-118.2496
51,90014,,{'nan': 'Unknown code'},1,2/27/10,2/27/10,Central,34.0445,-118.2523
52,90079,416,{'0416': 'Hit-Hit w/ weapon'},1,2/28/10,2/28/10,Central,34.0524,-118.2467
53,90015,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2/28/10,3/1/10,Central,34.0389,-118.2643
54,90017,329,{'0329': 'Vandalized'},1,3/1/10,3/1/10,Central,34.0459,-118.2579
