house_price,zip_code,house_address,beds,baths,house_link
879000,91206,"2620 E Glenoaks Blvd, Glendale, CA 91206",3,1.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Glendale/2620-E-Glenoaks-Blvd-91206/home/7171056
599000,90604,"11037 Chadsey Dr, Whittier, CA 90604",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Whittier/11037-Chadsey-Dr-90604/home/7818623
799990,90808,"5358 E Conant St, Long Beach, CA 90808",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Long-Beach/5358-E-Conant-St-90808/home/7564508
499900,90660,"4733 Fir St, Pico Rivera, CA 90660",3,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Pico-Rivera/4733-Fir-St-90660/home/7448634
379900,90717,"25925 Oak St #112, Lomita, CA 90717",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Lomita/25925-Oak-St-90717/unit-112/home/7731910
849000,90278,"2716 182nd St, Redondo Beach, CA 90278",3,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Redondo-Beach/2716-182nd-St-90278/home/6574523
664900,90804,"1515 Temple Ave, Long Beach, CA 90804",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Long-Beach/1515-Temple-Ave-90804/home/7605308
849998,91748,"17507 Rio Ct, Rowland Heights, CA 91748",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Rowland-Heights/17507-Rio-Ct-91748/home/7865178
399998,91766,"9 Wildflower Pl, Pomona, CA 91766",2,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Pomona/9-Wildflower-Pl-91766/home/8049737
539988,91745,"15733 Tetley St Unit 1H, Hacienda Hts, CA 91745",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Hacienda-Heights/15733-Tetley-St-91745/unit-1H/home/7841601
478000,91405,"15050 Sherman Way #233, Van Nuys, CA 91405",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Van-Nuys/15050-Sherman-Way-91405/unit-233/home/4460668
269000,93550,"2320 Gregory Ave, Palmdale, CA 93550",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Palmdale/2320-Gregory-Ave-93550/home/6151517
449000,90731,"920 N Grand Ave, San Pedro, CA 90731",2,1.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/San-Pedro/920-N-Grand-Ave-90731/home/7687981
589000,90732,"2113 Stonewood Ct #76, San Pedro, CA 90732",2,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/San-Pedro/2113-Stonewood-Ct-90732/unit-76/home/7684180
699000,91306,"7816 Quartz Ave, Canoga Park, CA 91306",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Canoga-Park/7816-Quartz-Ave-91306/home/3670810
569000,91402,"8509 Lennox Ave, Panorama City, CA 91402",3,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Panorama-City/8509-Lennox-Ave-91402/home/5633306
499000,91326,"11427 Tampa Ave #80, Porter Ranch, CA 91326",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Porter-Ranch/11427-Tampa-Ave-91326/unit-80/home/5763337
325000,91355,"24123 Del Monte Dr #97, Valencia, CA 91355",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Santa-Clarita/24123-W-Del-Monte-Dr-91355/unit-97/home/6074750
1499000,91436,"16765 Otsego St, Encino, CA 91436",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Encino/16765-Otsego-St-91436/home/4786192
1145000,90045,"8416 Campion Dr, Los Angeles, CA 90045",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-1/CA/Los-Angeles/8416-Campion-Dr-90045/home/6620335
719900,91307,"6574 Sausalito Ave, West Hills, CA 91307",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/West-Hills/6574-Sausalito-Ave-91307/home/3212067
849000,90042,"617 San Pascual Ave, Highland Park, CA 90042",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Los-Angeles/617-San-Pascual-Ave-90042/home/7187080
775000,90815,"2440 Marber Ave, Long Beach, CA 90815",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Long-Beach/2440-Marber-Ave-90815/home/7581463
845000,90049,"11949 Goshen Ave #102, Los Angeles, CA 90049",2,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Los-Angeles/11949-Goshen-Ave-90049/unit-102/home/6761478
1249998,90065,"4426 San Andreas Ave, Los Angeles, CA 90065",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Los-Angeles/4426-San-Andreas-Ave-90065/home/7078233
519000,90066,"5000 S Centinela Ave #142, Los Angeles, CA 90066",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Los-Angeles/5000-S-Centinela-Ave-90066/unit-142/home/6731413
2129000,90254,"836 Bard St, Hermosa Beach, CA 90254",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Hermosa-Beach/836-Bard-St-90254/home/6717141
898000,91789,"20135 Donway Dr, Walnut, CA 91789",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Walnut/20135-Donway-Dr-91789/home/8088170
789000,91381,"25921 Wordsworth Ln, Stevenson Ranch, CA 91381",4,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Stevenson-Ranch/25921-Wordsworth-Ln-91381/home/5997859
649000,90401,"1319 11th St #5, Santa Monica, CA 90401",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Santa-Monica/1319-11th-St-90401/unit-5/home/6774034
649000,91343,"10100 Sophia Ave, North Hills, CA 91343",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/North-Hills/10100-Sophia-Ave-91343/home/5725385
949999,91030,"1320 Gates Pl, South Pasadena, CA 91030",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/South-Pasadena/1320-Gates-Pl-91030/home/7004804
479000,93536,"6217 Shadow Hills Dr, Quartz Hill, CA 93536",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Quartz-Hill/6217-Shadow-Hill-Dr-93536/home/6359944
699000,91335,"19016 Bessemer St, Tarzana, CA 91335",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Tarzana/19016-Bessemer-St-91335/home/3865942
999000,90260,"15010 Eastwood Ave, Lawndale, CA 90260",8,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Lawndale/15010-Eastwood-Ave-90260/home/6562566
1999000,91311,"10925 Owensmouth Ave, Chatsworth, CA 91311",5,6,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Chatsworth/10925-Owensmouth-Ave-91311/home/5794153
689000,91505,"3515 W Alameda Ave, Burbank, CA 91505",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Burbank/3515-W-Alameda-Ave-91505/home/5392661
1499000,90019,"5063 Edgewood Pl, Los Angeles, CA 90019",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Los-Angeles/5063-Edgewood-Pl-90019/home/6912462
539900,90605,"13968 Cerecita Dr, Whittier, CA 90605",3,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Whittier/13968-Cerecita-Dr-90605/home/7820015
734990,90814,"2916 E Colorado St, Long Beach, CA 90814",2,1.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-2/CA/Long-Beach/2916-E-Colorado-St-90814/home/7603085
872000,91801,"301 S Cordova St, Alhambra, CA 91801",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Alhambra/301-S-Cordova-St-91801/home/7021634
975000,90630,"4252 Emerald Cir, Cypress, CA 90630",6,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Cypress/4252-Emerald-Cir-90630/home/4015441
499000,91024,"284 Vista Circle Dr, Sierra Madre, CA 91024",1,0.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Sierra-Madre/284-Vista-Cir-Dr-91024/home/7225677
1139000,91750,"2335 Daybreak Dr, La Verne, CA 91750",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/La-Verne/2335-Daybreak-Dr-91750/home/8044202
1299000,90403,"848 Lincoln Blvd Unit A, Santa Monica, CA 90403",2,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Santa-Monica/848-Lincoln-Blvd-90403/unit-A/home/6780004
985000,90803,"274 Roswell Ave, Long Beach, CA 90803",3,1.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Long-Beach/274-Roswell-Ave-90803/home/7600777
2264000,90291,"422 Sherman Canal, Venice, CA 90291",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Venice/422-Sherman-Canal-90291/home/6734686
723990,90027,"4411 Los Feliz Blvd #605, Los Angeles, CA 90027",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Los-Angeles/4411-Los-Feliz-Blvd-90027/unit-605/home/7133042
5869000,90265,"5620 Villa Mar Pl, Malibu, CA 90265",5,5.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Malibu/Unknown-Unknown/home/22698554
899000,91364,"4647 Ensenada Dr, Woodland Hills, CA 91364",5,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Woodland-Hills/4647-Ensenada-Dr-91364/home/4204598
305000,90650,"14011 Bayside Dr #12, Norwalk, CA 90650",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Norwalk/14011-Bayside-Dr-90650/unit-12/home/7777965
460000,90813,"873 Magnolia Ave #7, Long Beach, CA 90813",2,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Long-Beach/873-Magnolia-Ave-90813/unit-7/home/7615961
589000,91605,"7243 Camellia Ave, North Hollywood, CA 91605",3,1.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/North-Hollywood/7243-Camellia-Ave-91605/home/5032419
4199000,90077,"2586 Casiano Rd, Los Angeles, CA 90077",6,7,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Los-Angeles/2586-Casiano-Rd-90077/home/6831713
200000,90065,"4291 Scandia Way, Los Angeles, CA 90065",0,—Baths,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Los-Angeles/4291-Scandia-Way-90065/home/23151322
2600000,90275,"28500 E Palos Verdes Dr, Rancho Palos Verdes, CA 90275",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Rancho-Palos-Verdes/28500-Palos-Verdes-Dr-E-90275/home/7732651
1824999,91001,"2954 Zane Grey, Altadena, CA 91001",5,5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Altadena/2954-Zane-Grey-Ter-91001/home/7259675
699999,91326,"11505 Amalfi Way, Northridge, CA 91326",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Northridge/11505-Amalfi-Way-91326/home/51576125
