,Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions
0,90001,huntington park,13,Newton,900,VIOLATION OF COURT ORDER,2010-02-20,2010-02-20,001307355,33.9825,-118.2695,300 E  GAGE                         AV,0913 1814 2000,501,1385,1350,"{'0913': 'Victim knew Suspect', '1814': 'Susp is/was current/former boyfriend/girlfriend', '2000': 'Domestic violence'}"
1,90045,inglewood,14,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-09-12,2010-09-13,011401303,33.9599,-118.3962,SEPULVEDA                    BL,0329,101,1485,0045,{'0329': 'Vandalized'}
2,90021,los angeles,13,Newton,946,OTHER MISCELLANEOUS CRIME,2010-08-09,2010-08-09,070309629,34.0224,-118.2524,1300 E  21ST                         ST,0344,103,1324,1515,{'0344': 'Removes vict property'}
3,90028,west hollywood,06,Hollywood,900,VIOLATION OF COURT ORDER,2010-01-05,2010-01-05,090631215,34.1016,-118.3295,CAHUENGA                     BL,1100 0400 1402,101,0646,0150,"{'1100': 'Shots Fired', '0400': 'Force used', '1402': 'Evidence Booked (any crime)'}"
4,90014,los angeles,01,Central,122,"RAPE, ATTEMPTED",2010-01-02,2010-01-03,100100501,34.0387,-118.2488,8TH                          ST,0400,103,0176,2100,{'0400': 'Force used'}
5,90017,los angeles,01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2010-01-04,2010-01-05,100100506,34.0480,-118.2577,700 W  7TH                          ST,0344 1402,404,0162,1650,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
6,90015,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-01-07,2010-01-08,100100508,34.0389,-118.2643,PICO                         BL,0344,101,0182,2005,{'0344': 'Removes vict property'}
7,90013,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-01-08,2010-01-09,100100509,34.0435,-118.2427,500    CROCKER                      ST,0416,710,0157,2100,{'0416': 'Hit-Hit w/ weapon'}
8,90017,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-01-09,2010-01-09,100100510,34.0450,-118.2640,800 W  OLYMPIC                      BL,0400 0416,108,0171,0230,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}"
9,90079,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-01-06,2010-01-09,100100511,34.0538,-118.2488,200 S  OLIVE                        ST,0344 1402,710,0132,2100,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
10,90012,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-01-14,2010-01-14,100100521,34.0640,-118.2375,900 N  BROADWAY,0400 0429 2000,101,0118,1445,"{'0400': 'Force used', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}"
11,90021,los angeles,01,Central,210,ROBBERY,2010-01-14,2010-01-15,100100522,34.0350,-118.2386,ALAMEDA                      ST,0344,101,0158,2000,{'0344': 'Removes vict property'}
12,90015,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-01-15,2010-01-15,100100523,34.0409,-118.2609,1100 S  OLIVE                        ST,0329,102,0182,0245,{'0329': 'Vandalized'}
13,90071,los angeles,01,Central,755,BOMB SCARE,2010-01-15,2010-01-16,100100529,34.0502,-118.2540,600 W  5TH                          ST,0404,738,0152,1745,"{'0404': 'Bomb Threat, no bomb'}"
14,90013,los angeles,01,Central,210,ROBBERY,2010-01-15,2010-01-16,100100531,34.0515,-118.2424,1ST,0344 0416 1218,102,0127,2030,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon', '1218': 'Victim was Homeless/Transient'}"
15,90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-01-16,2010-01-17,100100535,34.0389,-118.2550,300 E  OLYMPIC                      BL,,103,0185,1735,{'nan': 'Unknown code'}
16,90015,los angeles,01,Central,237,CHILD NEGLECT (SEE 300 W.I.C.),2010-01-23,2010-01-23,100100552,34.0401,-118.2668,1300 S  FLOWER                       ST,1251,502,0192,1225,{'1251': 'Victim was a student'}
17,90014,los angeles,01,Central,210,ROBBERY,2010-01-23,2010-01-23,100100553,34.0428,-118.2461,600    SAN JULIAN                   ST,0344 0416,101,0166,1100,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}"
18,90079,los angeles,01,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2010-01-23,2010-01-23,100100555,34.0545,-118.2499,200 S  GRAND                        AV,2000,502,0132,2000,{'2000': 'Domestic violence'}
19,90012,los angeles,01,Central,210,ROBBERY,2010-01-26,2010-01-26,100100561,34.0563,-118.2374,800 N  ALAMEDA                      ST,0346 0400,102,0119,1820,"{'0346': 'Snatch property and runs', '0400': 'Force used'}"
20,90071,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-01-28,2010-01-28,100100562,34.0502,-118.2540,500 S  GRAND                        AV,0416 2000,108,0152,2345,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}"
21,90013,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-01-29,2010-01-30,100100564,34.0454,-118.2360,800    TRACTION                     AV,0344 1609,101,0139,1630,"{'0344': 'Removes vict property', '1609': 'Smashed'}"
22,90013,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-01-31,2010-01-31,100100570,34.0472,-118.2371,600 E  2ND                          ST,0344,210,0139,0130,{'0344': 'Removes vict property'}
23,90015,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-01-31,2010-01-31,100100571,34.0382,-118.2665,1400 S  HOPE                         ST,0400,501,0192,1000,{'0400': 'Force used'}
24,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-01-31,2010-02-01,100100572,34.0423,-118.2452,600 S  SAN PEDRO                    ST,0416,102,0166,1700,{'0416': 'Hit-Hit w/ weapon'}
25,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-01-31,2010-02-01,100100573,34.0460,-118.2509,200 W  6TH                          ST,0416,502,0153,2200,{'0416': 'Hit-Hit w/ weapon'}
26,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-01-31,2010-02-01,100100574,34.0461,-118.2476,5TH,0416,207,0145,1930,{'0416': 'Hit-Hit w/ weapon'}
27,90015,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-01-31,2010-02-01,100100575,34.0437,-118.2652,1100 S  FIGUEROA                     ST,1402,710,0181,1720,{'1402': 'Evidence Booked (any crime)'}
28,90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-02-03,2010-02-05,100100578,34.0357,-118.2563,1200    MAPLE                        AV,,710,0185,1255,{'nan': 'Unknown code'}
29,90021,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-02-01,2010-02-02,100100580,34.0394,-118.2405,6TH,0521,502,0158,1355,{'0521': 'Tongue or mouth to anus'}
30,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-05,2010-02-05,100100581,34.0446,-118.2450,SAN JULIAN                   ST,0400 0417,101,0147,1425,"{'0400': 'Force used', '0417': 'Kicked'}"
